sample_id,timestamp,run_hours,cycle_number,cathode_catalyst,anode_catalyst,Pt_at%,Co_at%,Ni_at%,Pd_at%,Ir_at%,graphene_support_%,TiO2_support_%,CeO2_support_%,gC3N4_support_%,C_support_%,total_metal_loading_%,BET_surface_area_m2_g,membrane_type,active_area_cm2,electrolyte,voltage_V,operating_pressure_bar,current_density_mA_cm2,voltage_efficiency_%,faradaic_efficiency_CH3OH_%,degradation_rate_per_hour,cumulative_degradation_%,voltage_drift_24h,metal_support_ratio,catalyst_complexity_index,voltage_stability_index,failure_risk_level,maintenance_needed
MEA_0050,2024-01-13 6:00,295,50,40wt%_Pt/C,NiFeO2,3.7,26.8,50.9,2.2,75.9,10.1,54.8,24.9,20.4,63,7.74,92.9,PEM,5,Buffer+1M KCl,1.88,0.8,12.16,69.6,86.1,0.004501,15.852587,-0.0027,0.07,4,0.69,warning,1
MEA_0051,2024-01-13 12:00,301,51,Pt/Graphite,NiFeO2,25.2,16.4,49.1,6.2,10.3,16.7,17.5,94.2,82.6,41.7,5.3,47.6,PEM,1,1M KOH,1.39,2.7,25.02,53.8,88.6,0.004105,17.088192,0.012,0.025,4,0.709,normal,0
MEA_0052,2024-01-13 18:00,307,52,40wt%_Pt/C,IrO2,71.3,59.8,5.3,27.9,51.4,14.7,29.6,29.8,55.8,14.4,9.89,69.7,PEM,10,1M KOH,2.48,1.8,18.56,89,74.4,0.00206,17.720612,0.0106,0.076,4,0.829,warning,1
MEA_0053,2024-01-14 0:00,313,53,Pt-Ni/TiO2/CeO2,,89.5,25.6,41.5,17.2,50.9,97.3,66.4,77.6,5.5,9.4,4.92,23.1,PEM,10,0.5M Na2CO3,1.46,2.5,41.56,58.3,45.1,0.003314,18.757894,-0.0005,0.02,4,0.751,normal,0
MEA_0054,2024-01-14 6:00,319,54,Pt-Ru/g-C3N4,IrO2,51.2,27.1,12,36.5,36.9,75.9,96.5,39.3,97.2,1.7,1.05,34.9,AEM-Sustainion X37,5,1M KOH,1.36,1.4,2.11,48.1,45.6,0.003805,19.971689,-0.0047,0.003,4,0.724,normal,0
MEA_0055,2024-01-14 12:00,325,55,Pt/Graphite,IrO2,53.2,9.8,59,32.6,93.3,96.8,5,13.9,51.3,87.4,2.99,86.5,Nafion 212,20,0.5M Na2CO3,1.42,0.8,12.95,45.3,68.7,0.001961,20.609014,-0.0069,0.018,4,0.836,normal,0
MEA_0056,2024-01-14 18:00,331,56,Pt-Ru/g-C3N4,RuO2,10.7,47.7,41,42.3,82.8,44,89,1.1,29.1,23.6,4.64,81.3,AEM-Sustainion X37,10,Buffer+1M KCl,2.34,0.6,8.48,40.7,37.1,-0.000307,20.507397,0.0121,0.028,4,0.97,warning,1
MEA_0057,2024-01-15 0:00,337,57,Carbon Paper,RuO2,44.7,41.6,54.4,34.6,69.7,27.8,57.7,54.4,46.9,21.2,1.99,48.1,AEM-Sustainion X37,1,Buffer+1M KCl,1.95,1.2,43.1,63.3,86.9,0.001628,21.056033,0.0035,0.011,4,0.86,critical,1
MEA_0058,2024-01-15 6:00,343,58,Pt/C,IrO2,53.3,13.2,3.3,21.5,71.4,79.8,56.4,97.6,85.8,73.6,9.5,50.1,AEM-Sustainion X37,20,1M KOH,2.1,1.1,23.91,50.3,43.5,0.004055,22.446898,-0.0003,0.03,4,0.711,normal,0
MEA_0059,2024-01-15 12:00,349,59,Pt-Ni/TiO2/CeO2,NiFeO2,24.2,4.9,6.8,33.6,46.2,32.6,50,36.9,30.5,32,7.79,62.7,AEM-Sustainion X37,20,0.5M Na2CO3,2.38,1.9,20.81,41.2,90,0.00258,23.347318,0.0157,0.052,4,0.795,normal,0
MEA_0060,2024-01-15 18:00,355,60,Pd-Ni/CeO2,RuO2,26.9,40.8,57.3,13.8,92.1,29.9,6.9,35.7,19.3,50.6,3.05,20,Nafion 212,10,0.5M H2SO4,2.37,0.6,23.02,68.6,59.7,0.003347,24.535503,0.0078,0.033,4,0.749,normal,0
MEA_0061,2024-01-16 0:00,361,61,Pt-Ni/TiO2/CeO2,,37.7,39.3,5.8,15.3,69.5,23.3,9,34.4,12.9,16.3,6.11,39.3,AEM-Sustainion X37,5,Buffer+1M KCl,2.11,1.8,48.62,77.4,76.3,0.000112,24.575935,0.0055,0.077,4,0.989,normal,0
MEA_0062,2024-01-16 6:00,367,62,Pt/Graphite,RuO2,2,16.4,5.7,39.4,72.9,13,60.1,52.1,29.8,96,7.35,36.7,PEM,20,0.5M Na2CO3,1.3,1.5,42.66,44.7,30.1,0.004786,26.332397,0.0123,0.047,4,0.676,normal,0
MEA_0063,2024-01-16 12:00,373,63,Pd-Ni/CeO2,RuO2,32.2,57.1,1,22.3,86.2,25.6,34.1,44.1,78,85.2,9.44,40,Nafion 211,5,0.5M Na2CO3,2.27,1.9,35.61,65.4,83.3,0.001424,26.863549,0.0145,0.052,4,0.875,normal,0
MEA_0064,2024-01-16 18:00,379,64,Pt/C,,21.1,9.1,76.5,39.9,27.4,35.5,91.7,88,47.2,86.4,8.88,84.5,PEM,10,0.5M Na2CO3,1.31,2.3,15.23,80.9,46.2,0.002922,27.970987,0.0106,0.034,4,0.774,normal,0
MEA_0065,2024-01-17 0:00,385,65,Pt/Graphite,IrO2,32.7,25.9,59,41.1,80.7,67.4,40.7,50.6,22.7,40.7,5.39,42.4,Nafion 211,1,1M KOH,2.11,2.1,9.09,94.2,70.1,-0.000887,27.629492,0.0032,0.03,4,0.919,normal,0
MEA_0066,2024-01-17 6:00,391,66,Pt-Co/TiO2/g-C3N4,,12,56.6,28.3,42.9,19.5,6.3,14.3,50.8,16.6,76.2,7.86,35.3,PEM,20,0.5M H2SO4,2.03,3,46.15,76.7,78.4,-0.000236,27.537216,0.0014,0.089,4,0.977,normal,0
MEA_0067,2024-01-17 12:00,397,67,Pt-Ru/g-C3N4,IrO2,89.1,25.2,23.7,45.8,34.5,21.1,71.5,13.8,33.3,14.4,5.84,60.3,PEM,1,1M KOH,2.14,0.8,21.73,53.5,39.8,0.003692,29.00294,0.0131,0.042,4,0.73,critical,1
MEA_0068,2024-01-17 18:00,403,68,Pt/C,IrO2,59.4,38.3,28,21.5,33.6,80.9,29.3,98.3,94,0.9,5.75,89.3,Nafion 211,5,Buffer+1M KCl,1.8,1.6,14.66,79.4,56.6,0.004808,30.940564,0.0055,0.019,4,0.675,warning,1
MEA_0069,2024-01-18 0:00,409,69,Pt-Ru/g-C3N4,IrO2,67.9,23.9,62,15.9,97.9,14.7,52.5,25,34.3,2,1.59,39.3,Nafion 212,5,1M KOH,1.96,1.6,24.08,72.9,59.6,0.00092,31.316844,0.0111,0.013,4,0.916,normal,0
MEA_0070,2024-01-18 6:00,415,70,40wt%_Pt/C,,78.9,16.5,52.9,29.1,85.7,34.3,69.8,7.3,98.8,58.7,1.7,26.3,AEM-Sustainion X37,1,0.5M Na2CO3,2.43,1.5,45.97,51.6,48.7,-0.000777,30.994389,0.0167,0.008,4,0.928,warning,1
MEA_0071,2024-01-18 12:00,421,71,Pt-Co/TiO2/g-C3N4,IrO2,49.8,59,14.8,18.6,70.1,86.5,90,66.3,48.5,45.5,5.53,48.5,PEM,10,1M KOH,1.15,2.2,19.97,86.8,58.9,0.001165,31.484854,0.0175,0.019,4,0.896,normal,0
MEA_0072,2024-01-18 18:00,427,72,Pt-Co/TiO2/g-C3N4,NiFeO2,8.7,24.6,13.9,30.1,72.7,15.5,79.2,59.5,17.9,51.8,3.05,79.8,Nafion 212,10,0.5M Na2CO3,1.46,1.7,28.57,63.5,49.1,-0.000895,31.102689,-0.0017,0.018,4,0.918,warning,1
MEA_0073,2024-01-19 0:00,433,73,Pt/C,,53.7,53.6,7.9,35.3,56.2,8.3,67.6,41.5,89.1,0.7,0.7,64.1,AEM-Sustainion X37,20,0.5M H2SO4,1.92,1.8,40.35,92.9,51.6,0.000154,31.169371,-0.0044,0.003,4,0.985,normal,0
MEA_0074,2024-01-19 6:00,439,74,Pt-Co/TiO2/g-C3N4,NiFeO2,58.7,13.8,52.8,34.4,94.7,48.5,68,42.2,46,42.3,7.37,85.3,Nafion 212,20,1M KOH,2.45,1.6,21.93,79.8,70.2,0.003515,32.712456,-0.0022,0.036,4,0.74,normal,0
MEA_0075,2024-01-19 12:00,445,75,Pd-Ni/CeO2,IrO2,74.5,12.8,61.1,18.7,49.6,30.2,94.6,78.5,71,71.8,0.81,96.8,Nafion 212,10,1M KOH,1.14,3,12.44,75.5,68,0.004623,34.769691,0.0125,0.003,4,0.684,warning,1
MEA_0076,2024-01-19 18:00,451,76,Pt-Co/TiO2/g-C3N4,RuO2,43.2,1.9,21.2,8.3,38.1,56.3,29.6,19.6,98.4,44.3,6.16,83.4,AEM-Sustainion X37,10,1M KOH,1.03,2.8,49.73,80.1,43.9,-0.000475,34.555466,0.0011,0.03,4,0.955,normal,0
MEA_0077,2024-01-20 0:00,457,77,Pt-Ru/g-C3N4,IrO2,12.8,39.1,1.7,21.5,16.3,80.4,0.1,82,5,73.2,5.62,68.3,PEM,1,0.5M Na2CO3,1.08,1.3,47.87,66.3,83.8,0.002347,35.628045,-0.0048,0.034,4,0.81,critical,1
MEA_0078,2024-01-20 6:00,463,78,Pt-Ru/g-C3N4,NiFeO2,28.4,22.1,6.6,7.1,78.6,13.7,27.2,64.9,9.7,23.3,9.7,59.5,Nafion 212,5,0.5M Na2CO3,1.08,0.8,42.33,67.8,81.8,0.000523,35.870194,-0.007,0.084,4,0.95,warning,1
MEA_0079,2024-01-20 12:00,469,79,Pt/Graphite,NiFeO2,36.3,51.9,77.4,44.5,73.4,58.1,21.8,41.9,72,81.3,5.1,23.2,PEM,5,1M KOH,2.36,2.6,34.73,86.8,60.5,-0.000166,35.79234,-0.0002,0.026,4,0.984,critical,1
MEA_0080,2024-01-20 18:00,475,80,Pt-Ru/g-C3N4,,64.6,28.4,23.6,17.3,38.4,50.6,66.2,45.8,28.2,58.8,1.1,98.7,PEM,20,1M KOH,2.08,3,15.45,77.5,56,0.000314,35.94149,-0.0059,0.006,4,0.97,normal,0
MEA_0081,2024-01-21 0:00,481,81,Pt/Graphite,RuO2,57.1,58.1,61.5,7.7,2.5,14.4,63.4,25.7,18.4,21.1,5.74,50.7,PEM,10,0.5M H2SO4,2.02,1.2,45.76,89.3,52.6,0.002467,37.128117,-0.0053,0.047,4,0.802,normal,0
MEA_0082,2024-01-21 6:00,487,82,Pt-Ru/g-C3N4,,35.6,11.1,50,1.3,83.9,62.4,59.3,75.2,3.9,23.7,8.49,32.2,AEM-Sustainion X37,1,0.5M H2SO4,1.78,1.4,14.5,89,72.4,-0.000609,36.831534,0.0105,0.042,4,0.943,normal,0
MEA_0083,2024-01-21 12:00,493,83,Pd-Ni/CeO2,NiFeO2,98.7,52.1,30.6,32.3,1.1,27.4,1.6,51.3,2.2,62.8,9.97,73.3,Nafion 211,20,Buffer+1M KCl,2.17,2.9,40.24,93.7,70.3,0.001605,37.622799,-0.0094,0.121,4,0.862,critical,1
MEA_0084,2024-01-21 18:00,499,84,Carbon Paper,IrO2,60.6,46.6,16.5,31.8,70.4,48.8,72.9,32.1,77.4,83,4.59,42.7,PEM,1,0.5M H2SO4,1.23,2.3,45.99,78.5,41.8,-0.000189,37.528488,-0.0065,0.02,4,0.981,normal,0
MEA_0085,2024-01-22 0:00,505,85,Pt/Graphite,RuO2,23.7,46.3,9.7,17,97,8.2,32.4,59.6,13.4,41.6,3.54,66.9,Nafion 211,10,0.5M H2SO4,1.59,1.2,30.55,67.6,70.3,0.000636,37.849668,0.0153,0.031,4,0.94,normal,0
MEA_0086,2024-01-22 6:00,511,86,Pt-Ni/TiO2/CeO2,IrO2,10.2,50.7,49.2,3.6,43.8,46,66.5,99.6,46.8,25.8,9.11,66.9,Nafion 211,10,0.5M H2SO4,1.74,2,40.35,49.1,45.1,0.000145,37.923763,0.0153,0.035,4,0.986,normal,0
MEA_0087,2024-01-22 12:00,517,87,40wt%_Pt/C,IrO2,15.3,45.7,62,20.5,23.5,30.6,55.7,43.5,60.6,86.7,2.32,55.7,Nafion 212,10,0.5M Na2CO3,1.17,2.9,39.79,78.8,31.1,0.004298,40.145829,-0.0001,0.012,4,0.699,normal,0
